                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                 2.4477,                 3.0056,                 2.1262,                 1.1965,                 0.4023,                0.09575,                0.07938,                0.02344,                0.28233,                0.09025,                0.03473,                0.00898,                 2.8823,                  3.714,                 2.7322,                 1.1411,             0.00044539,             0.00044539,             0.00044539
                     98,                 2.3307,                  2.846,                 1.9394,                 1.2773,                0.36095,                0.12349,                0.08074,                0.02319,                  0.295,                0.05579,                0.04514,                0.01477,                 2.8924,                 3.6461,                 2.6857,                 1.1434,             0.00044257,             0.00044257,             0.00044257
                     99,                 2.3697,                 2.7313,                  2.067,                 1.1737,                0.29831,                 0.0947,                0.07793,                0.02477,                 0.3859,                  0.103,                0.08412,                0.01942,                 2.8106,                 3.5152,                 2.4558,                 1.1281,             0.00043974,             0.00043974,             0.00043974
                    100,                  2.382,                 2.9687,                 2.1388,                 1.2426,                0.34688,                0.23598,                0.08359,                0.02552,                0.36869,                0.22672,                0.08354,                0.01906,                    2.9,                  3.545,                 2.7271,                 1.1367,             0.00043691,             0.00043691,             0.00043691
                    101,                  2.417,                 2.8815,                 2.0393,                 1.2067,                 0.5703,                0.14439,                0.08725,                0.02747,                0.54921,                0.12939,                0.06761,                0.01636,                 2.8382,                 3.6992,                 2.7624,                 1.1206,             0.00043408,             0.00043408,             0.00043408
                    102,                 2.3415,                 2.8792,                 1.9778,                 1.1552,                 0.3972,                0.12254,                0.08871,                0.02917,                0.42012,                 0.1024,                0.09233,                0.02014,                 2.8031,                 3.5997,                 2.5171,                 1.1176,             0.00043126,             0.00043126,             0.00043126
                    103,                 2.4268,                   2.94,                 2.0577,                 1.2224,                0.40266,                0.10102,                0.10145,                0.02948,                 0.3612,                0.09233,                0.08069,                0.01866,                 2.9089,                 3.7228,                  2.681,                 1.1155,             0.00042843,             0.00042843,             0.00042843
                    104,                 2.4539,                 2.8749,                 2.0835,                 1.2142,                0.51427,                0.09223,                0.09996,                0.02817,                0.30381,                0.06511,                0.03679,                0.01053,                 2.8493,                 3.5147,                 2.6032,                 1.1187,              0.0004256,              0.0004256,              0.0004256
                    105,                 2.3799,                  2.855,                 2.0758,                 1.1903,                0.36092,                0.13918,                0.10981,                0.02692,                0.34315,                0.12326,                0.09122,                0.02062,                 2.9021,                 3.6005,                 2.5037,                 1.1384,             0.00042277,             0.00042277,             0.00042277
                    106,                 2.4497,                 2.7438,                  2.121,                 1.1653,                0.36068,                0.08992,                0.09226,                0.03091,                0.32228,                 0.0683,                0.07218,                0.01494,                 2.9506,                 3.7393,                 2.6538,                 1.1568,             0.00041995,             0.00041995,             0.00041995
                    107,                  2.375,                 2.7523,                 2.0806,                 1.1795,                0.31432,                0.07793,                0.06037,                 0.0183,                 0.3182,                0.04816,                0.03439,                0.01039,                 3.0078,                 3.7658,                 2.8974,                 1.1503,             0.00041712,             0.00041712,             0.00041712
                    108,                 2.4267,                 2.9101,                 1.9844,                 1.1709,                0.32986,                0.07547,                0.07068,                0.02182,                0.31968,                 0.0629,                 0.0456,                0.01161,                 2.8649,                 3.6289,                 2.6207,                 1.1478,             0.00041429,             0.00041429,             0.00041429
                    109,                 2.4208,                 2.8565,                 2.0756,                 1.1975,                0.31094,                0.09238,                0.07525,                0.02083,                0.29885,                0.06052,                0.03757,                0.01023,                 3.0017,                 3.8803,                 2.6497,                 1.1524,             0.00041146,             0.00041146,             0.00041146
                    110,                  2.276,                 2.7834,                  1.906,                 1.1974,                0.41353,                 0.0984,                0.10051,                0.02524,                0.42799,                0.07223,                0.06037,                0.01501,                 2.8912,                 3.7806,                 2.5895,                 1.1433,             0.00040864,             0.00040864,             0.00040864
                    111,                 2.3272,                 2.8515,                 1.9665,                 1.1776,                0.33189,                0.11728,                0.08987,                0.02519,                0.30545,                0.06654,                0.04475,                0.01269,                 2.8937,                 3.6512,                 2.7929,                 1.1301,             0.00040581,             0.00040581,             0.00040581
                    112,                 2.3306,                 2.7455,                 1.9652,                 1.1853,                0.32678,                0.19697,                0.08302,                0.02476,                0.29299,                0.17569,                0.04624,                0.01159,                 2.8233,                 3.4091,                 2.7728,                 1.1115,             0.00040298,             0.00040298,             0.00040298
                    113,                 2.3606,                 2.7999,                 1.9522,                 1.1322,                0.43315,                0.11654,                0.10743,                0.03442,                0.35128,                0.06856,                0.06031,                0.01759,                 2.8277,                  3.552,                 2.5515,                 1.1268,             0.00040015,             0.00040015,             0.00040015
                    114,                 2.3228,                 2.8691,                 1.9097,                 1.1951,                0.38884,                0.12154,                0.09864,                0.03072,                0.32092,                0.05621,                0.04458,                0.01276,                 2.8671,                  3.493,                 2.8065,                 1.1442,             0.00039733,             0.00039733,             0.00039733
                    115,                 2.2588,                 2.7113,                 1.9249,                 1.1745,                0.42975,                0.10719,                0.10206,                0.03467,                0.31693,                0.17042,                0.04347,                0.01305,                 2.8414,                 3.5545,                 2.7955,                 1.1434,              0.0003945,              0.0003945,              0.0003945
                    116,                 2.3278,                 2.8634,                 1.9398,                 1.1413,                0.29104,                0.11215,                0.10663,                0.03959,                0.19732,                 0.0659,                0.04225,                0.01206,                 2.9058,                 3.6225,                 2.6111,                 1.1554,             0.00039167,             0.00039167,             0.00039167
                    117,                 2.4022,                 2.9152,                 2.0523,                 1.1563,                0.31415,                0.10983,                 0.1205,                0.04408,                0.17278,                0.08957,                 0.0778,                0.01914,                 2.8511,                 3.6362,                 2.9777,                 1.1337,             0.00038884,             0.00038884,             0.00038884
                    118,                 2.3679,                 2.7399,                 1.9538,                 1.1327,                0.38617,                0.10994,                0.11197,                0.03523,                0.29707,                0.11169,                0.06202,                0.01482,                 2.8817,                 3.6073,                 2.4195,                 1.1297,             0.00038602,             0.00038602,             0.00038602
                    119,                 2.2372,                 2.7257,                 1.8524,                 1.1626,                0.38268,                0.11985,                0.09505,                0.03276,                0.28362,                0.09129,                0.06206,                0.01482,                 2.8448,                 3.6469,                 2.4089,                 1.1253,             0.00038319,             0.00038319,             0.00038319
                    120,                 2.3722,                 2.8568,                 1.9377,                 1.1481,                0.39287,                0.09809,                  0.099,                0.02516,                0.31417,                0.08521,                0.04993,                0.01231,                 2.9656,                 3.7451,                 2.5227,                 1.1431,             0.00038036,             0.00038036,             0.00038036
                    121,                 2.2995,                 2.6761,                 1.9418,                 1.1181,                0.37043,                0.11578,                0.09521,                0.03031,                 0.2974,                0.09414,                0.04982,                 0.0127,                   2.95,                 3.6717,                 2.5545,                 1.1358,             0.00037753,             0.00037753,             0.00037753
                    122,                 2.3689,                 2.8359,                 1.9934,                 1.1856,                0.35272,                0.23087,                0.07506,                0.01966,                0.30871,                0.16555,                0.03906,                0.01074,                 2.9683,                 3.7344,                 2.8265,                  1.135,             0.00037471,             0.00037471,             0.00037471
                    123,                 2.3934,                 2.8121,                 1.9783,                 1.2027,                0.33378,                0.11655,                0.07586,                0.02289,                0.28616,                0.05875,                0.03469,                0.00911,                 2.9403,                 3.6085,                 2.6801,                 1.1494,             0.00037188,             0.00037188,             0.00037188
                    124,                 2.2916,                 2.6138,                 1.9107,                 1.1693,                0.38681,                0.11304,                0.08209,                0.02342,                0.28953,                0.05541,                0.03592,                 0.0094,                  2.952,                 3.6914,                 2.8087,                  1.146,             0.00036905,             0.00036905,             0.00036905
                    125,                 2.2884,                  2.772,                 1.8407,                 1.1429,                 0.4089,                0.11039,                0.09824,                0.02419,                 0.3049,                0.05268,                0.03643,                0.00896,                 2.8713,                   3.76,                  2.733,                  1.116,             0.00036622,             0.00036622,             0.00036622
                    126,                 2.2995,                 2.6865,                 1.9347,                 1.1274,                0.40897,                0.11435,                0.09759,                0.02882,                0.28889,                0.04908,                0.03574,                 0.0105,                 2.9168,                 3.8653,                 2.6089,                 1.1309,              0.0003634,              0.0003634,              0.0003634
                    127,                 2.2942,                 2.7937,                 1.8575,                 1.1422,                0.48525,                0.11322,                0.11291,                0.03425,                0.31283,                0.06372,                0.04765,                0.01214,                 2.8296,                 3.6099,                 2.5177,                  1.117,             0.00036057,             0.00036057,             0.00036057
                    128,                 2.2677,                 2.7908,                 1.9062,                 1.1594,                0.40124,                0.10931,                0.10335,                0.03479,                 0.2945,                 0.0629,                0.04186,                0.01068,                 2.8719,                 3.7369,                 2.5596,                 1.1278,             0.00035774,             0.00035774,             0.00035774
                    129,                 2.3336,                 2.7897,                 1.8774,                 1.1562,                0.39645,                0.11097,                0.10753,                0.03694,                0.28324,                0.06233,                0.03595,                0.01044,                 2.8591,                 3.6036,                 2.5922,                 1.1482,             0.00035492,             0.00035492,             0.00035492
                    130,                 2.2443,                 2.7264,                  1.793,                 1.1333,                 0.3951,                0.10788,                0.09923,                0.03165,                0.28906,                0.06138,                0.03846,                0.00966,                 2.8872,                 3.7114,                 2.5797,                 1.1437,             0.00035209,             0.00035209,             0.00035209
                    131,                 2.2162,                 2.7358,                 1.8278,                 1.1662,                0.38613,                0.10665,                0.09958,                0.03392,                0.29598,                0.07226,                0.04934,                0.01332,                  2.818,                 3.5383,                 2.5095,                 1.1326,             0.00034926,             0.00034926,             0.00034926
                    132,                 2.3044,                  2.791,                 1.9225,                 1.1527,                0.40271,                0.10469,                0.10187,                0.03526,                0.37359,                0.09153,                0.08624,                0.01726,                 2.8354,                 3.5822,                 2.6935,                 1.1446,             0.00034643,             0.00034643,             0.00034643
                    133,                 2.2397,                 2.7886,                 1.8472,                 1.1104,                0.38943,                0.11343,                0.08314,                0.02301,                0.30308,                 0.0591,                0.04317,                 0.0119,                 2.8968,                 3.6958,                  2.526,                 1.1463,             0.00034361,             0.00034361,             0.00034361
                    134,                 2.3486,                 2.6399,                 1.8362,                  1.147,                0.38457,                0.11387,                0.08154,                0.02324,                0.30337,                0.06039,                0.04452,                0.01139,                 2.9101,                 3.6915,                 2.7372,                 1.1649,             0.00034078,             0.00034078,             0.00034078
                    135,                 2.2151,                 2.6073,                 1.8098,                 1.1545,                0.40484,                0.10367,                0.08584,                0.02893,                0.41534,                0.05849,                0.03975,                0.01101,                 2.9071,                 3.5876,                    2.6,                 1.1529,             0.00033795,             0.00033795,             0.00033795
                    136,                 2.2057,                 2.5682,                 1.8278,                 1.1836,                0.40504,                0.11538,                 0.1047,                0.04225,                0.31475,                0.07023,                0.05059,                0.01443,                 2.8815,                 3.5833,                 2.6346,                 1.1304,             0.00033512,             0.00033512,             0.00033512
                    137,                 2.2556,                  2.742,                 1.8054,                 1.1398,                0.40561,                0.10534,                0.10019,                0.03854,                0.27662,                0.09521,                0.04271,                0.01027,                 2.8976,                 3.6612,                 2.6246,                 1.1181,              0.0003323,              0.0003323,              0.0003323
                    138,                 2.2802,                 2.6168,                   1.85,                 1.1555,                0.36825,                0.11616,                0.10622,                0.04064,                0.30413,                0.09496,                0.05264,                0.01279,                 2.8056,                 3.5999,                 2.4949,                 1.0991,             0.00032947,             0.00032947,             0.00032947
                    139,                  2.134,                 2.6357,                 1.7914,                 1.1611,                0.37213,                0.10986,                0.09937,                0.03014,                0.30925,                0.06089,                0.04376,                0.01233,                 2.8736,                 3.6391,                 2.9252,                 1.1328,             0.00032664,             0.00032664,             0.00032664
                    140,                 2.1989,                 2.7729,                 1.8896,                 1.1584,                0.44692,                0.10826,                0.10456,                0.02954,                0.30371,                0.06019,                0.04793,                0.01291,                 2.8978,                 3.6562,                 2.6537,                 1.1427,             0.00032381,             0.00032381,             0.00032381
                    141,                 2.1661,                 2.5707,                 1.7381,                 1.1199,                0.40702,                 0.1047,                0.10088,                0.03236,                0.29654,                0.05517,                0.03482,                0.01032,                 2.8826,                 3.6887,                 2.7386,                 1.1356,             0.00032099,             0.00032099,             0.00032099
                    142,                 2.1507,                 2.6573,                 1.7764,                 1.1553,                0.43139,                0.11862,                0.10912,                0.03402,                0.31546,                0.06374,                0.04542,                0.01204,                 2.9108,                 3.8096,                 2.5623,                 1.1383,             0.00031816,             0.00031816,             0.00031816
                    143,                 2.2362,                  2.677,                 1.8273,                 1.1367,                0.40653,                0.10519,                0.09651,                0.03259,                 0.2979,                0.05975,                0.03538,                 0.0089,                 3.0086,                 3.8801,                 2.6885,                 1.1755,             0.00031533,             0.00031533,             0.00031533
                    144,                 2.3266,                 2.7551,                 1.8989,                 1.1344,                0.30839,                0.10654,                0.10116,                0.03745,                0.18048,                0.06726,                0.04394,                0.01123,                 2.8889,                 3.7576,                 2.5617,                  1.154,              0.0003125,              0.0003125,              0.0003125
                    145,                  2.216,                 2.6731,                 1.8767,                 1.1205,                0.36958,                0.10739,                0.09937,                 0.0335,                0.35898,                0.09741,                  0.059,                 0.0148,                 2.8942,                 3.7792,                 2.4684,                 1.1312,             0.00030968,             0.00030968,             0.00030968
                    146,                 2.1942,                 2.6542,                 1.8049,                 1.1296,                   0.41,                0.10342,                0.08767,                0.03344,                0.34494,                0.10266,                0.06253,                0.01402,                 2.8485,                 3.5615,                 2.5601,                 1.1278,             0.00030685,             0.00030685,             0.00030685
                    147,                 2.1957,                 2.6293,                 1.8235,                 1.1614,                0.39837,                0.09782,                 0.0769,                0.02522,                0.28385,                0.06157,                0.03721,                0.00929,                 2.9253,                 3.7311,                 2.5537,                 1.1321,             0.00030402,             0.00030402,             0.00030402
                    148,                 2.2638,                 2.6722,                 1.7496,                 1.1178,                0.37463,                 0.1124,                0.09877,                0.02905,                0.32052,                0.06323,                0.04021,                0.00989,                 2.8613,                 3.5125,                 2.6961,                 1.1414,             0.00030119,             0.00030119,             0.00030119
                    149,                  2.181,                 2.6215,                 1.7678,                  1.109,                 0.3842,                0.11541,                0.10368,                0.03321,                 0.3018,                0.06078,                0.03811,                0.00988,                 2.8498,                 3.6071,                 2.5976,                 1.1349,             0.00029837,             0.00029837,             0.00029837
                    150,                 2.2291,                 2.6814,                 1.7509,                 1.1278,                0.37982,                0.11472,                0.10766,                0.03556,                0.37448,                0.09151,                0.08976,                0.02185,                 2.8148,                 3.5207,                 2.5231,                 1.1099,             0.00029554,             0.00029554,             0.00029554
                    151,                 2.1375,                 2.6231,                 1.7115,                 1.0706,                 0.3682,                0.11127,                0.08683,                 0.0296,                0.19382,                0.07283,                0.04638,                0.01267,                 2.7798,                 3.5734,                 2.6031,                  1.118,             0.00029271,             0.00029271,             0.00029271
                    152,                 2.1713,                 2.6384,                 1.7505,                 1.1526,                0.10284,                0.12204,                0.06659,                0.01968,                0.06777,                 0.0644,                0.03365,                0.00941,                 2.8813,                 3.7481,                 2.5979,                 1.1273,             0.00028988,             0.00028988,             0.00028988
                    153,                 2.2092,                 2.5425,                 1.7948,                 1.1358,                0.36026,                 0.1096,                0.07241,                0.02321,                0.31068,                0.05637,                0.04306,                0.01191,                 2.8171,                 3.6252,                 2.6269,                 1.1153,             0.00028706,             0.00028706,             0.00028706
                    154,                 2.0904,                 2.5643,                 1.6627,                 1.1068,                0.37155,                0.11185,                0.07548,                0.02469,                0.31499,                0.05977,                0.04507,                0.01161,                 2.8514,                 3.6578,                 2.5904,                 1.1164,             0.00028423,             0.00028423,             0.00028423
                    155,                 2.1777,                 2.7444,                 1.6879,                 1.0879,                0.27956,                 0.1115,                0.08531,                0.02617,                0.19679,                 0.0578,                0.03975,                0.01147,                 2.9112,                 3.8298,                 2.7263,                 1.1427,              0.0002814,              0.0002814,              0.0002814
                    156,                 2.2296,                 2.5999,                  1.803,                 1.1794,                0.26115,                0.11042,                0.07762,                0.02513,                 0.1951,                0.05849,                0.03757,                0.00976,                 2.8768,                 3.6211,                 2.5715,                  1.132,             0.00027857,             0.00027857,             0.00027857
                    157,                 2.1714,                 2.7039,                 1.7573,                 1.1442,                0.26252,                 0.1131,                0.08047,                0.02492,                0.22131,                0.06205,                0.04815,                0.01187,                 2.8062,                 3.7007,                 2.5392,                 1.1102,             0.00027575,             0.00027575,             0.00027575
                    158,                 2.1377,                 2.5392,                 1.7734,                 1.0887,                0.35346,                0.12324,                0.07919,                0.02334,                0.30736,                   0.06,                0.03767,                0.00973,                 2.8335,                 3.7283,                 2.7596,                 1.1118,             0.00027292,             0.00027292,             0.00027292
                    159,                 2.1788,                 2.5945,                 1.7395,                 1.1038,                 0.3728,                0.10339,                0.10404,                0.03283,                0.31378,                0.05243,                0.04121,                0.00981,                 2.8521,                 3.6832,                 2.6548,                  1.122,             0.00027009,             0.00027009,             0.00027009
                    160,                 2.1243,                 2.5638,                  1.694,                 1.1156,                0.37029,                0.10355,                0.10231,                0.04287,                0.30718,                0.05503,                0.04282,                0.01248,                  2.846,                 3.8291,                 2.5399,                 1.1284,             0.00026726,             0.00026726,             0.00026726
                    161,                 2.2032,                 2.5598,                  1.751,                 1.1122,                0.40065,                0.09858,                 0.1011,                  0.038,                0.36625,                0.08023,                0.07697,                0.01369,                 2.8763,                 3.6938,                 2.6026,                 1.1105,             0.00026444,             0.00026444,             0.00026444
                    162,                 2.1664,                 2.6343,                 1.7703,                 1.1115,                0.37677,                0.10976,                0.10975,                0.04337,                0.35981,                0.08359,                0.08709,                0.01969,                 2.8726,                  3.654,                 2.7958,                  1.135,             0.00026161,             0.00026161,             0.00026161
                    163,                 2.1915,                 2.6393,                  1.732,                 1.1261,                0.35107,                0.12207,                 0.1181,                0.05243,                0.34144,                0.12106,                0.10482,                0.01969,                 2.8613,                 3.7205,                 2.5783,                 1.1334,             0.00025878,             0.00025878,             0.00025878
                    164,                 2.1801,                 2.5425,                 1.6983,                 1.1015,                0.35818,                0.14749,                0.10869,                 0.0429,                0.30104,                0.09604,                0.04058,                0.00909,                 2.9327,                 3.9485,                 2.7593,                 1.1451,             0.00025595,             0.00025595,             0.00025595
                    165,                  2.129,                 2.5885,                 1.6335,                  1.103,                0.39669,                0.10857,                0.12208,                0.03857,                0.17112,                0.09172,                0.04832,                0.01285,                 2.9083,                 3.6486,                 2.6271,                 1.1376,             0.00025313,             0.00025313,             0.00025313
                    166,                 2.1868,                  2.633,                 1.6845,                 1.0712,                 0.3792,                0.10677,                 0.1044,                 0.0424,                0.30414,                0.06445,                0.04308,                0.01258,                 2.8948,                 3.7775,                  2.751,                 1.1445,              0.0002503,              0.0002503,              0.0002503
                    167,                 2.1352,                 2.6497,                 1.7086,                 1.0863,                0.40935,                0.09948,                0.10608,                0.03499,                0.30112,                0.05766,                0.03689,                0.00995,                 2.9067,                 3.7054,                 2.7402,                 1.1408,             0.00024747,             0.00024747,             0.00024747
                    168,                 2.1969,                 2.6665,                 1.7036,                 1.0675,                0.39773,                0.10261,                0.10323,                0.03105,                0.30593,                0.05026,                 0.0316,                0.00845,                 2.9144,                 3.7001,                 2.6701,                 1.1328,             0.00024464,             0.00024464,             0.00024464
                    169,                 2.0901,                 2.4978,                 1.6214,                  1.097,                0.36333,                0.11017,                0.10038,                0.02727,                0.30598,                 0.0511,                0.03738,                0.01063,                  2.911,                 3.6987,                  2.848,                 1.1461,             0.00024182,             0.00024182,             0.00024182
                    170,                 2.1042,                  2.876,                 1.7006,                 1.1111,                0.38581,                0.10902,                  0.108,                0.03328,                0.29274,                0.10886,                0.05272,                0.01234,                 2.8943,                 3.6755,                 2.5549,                 1.1451,             0.00023899,             0.00023899,             0.00023899
                    171,                 2.0548,                 2.3801,                 1.5895,                 1.0798,                 0.4325,                 0.1023,                0.10763,                0.03222,                0.32144,                0.05737,                0.04059,                0.00999,                 2.8819,                 3.7471,                 2.6018,                 1.1298,             0.00023616,             0.00023616,             0.00023616
                    172,                 2.0326,                 2.5105,                 1.5881,                 1.1048,                0.40524,                 0.1003,                0.11304,                0.03911,                0.33651,                 0.0513,                0.04817,                0.01297,                 2.8381,                 3.6889,                  2.559,                 1.1263,             0.00023334,             0.00023334,             0.00023334
                    173,                  2.003,                 2.4982,                  1.632,                  1.095,                0.39271,                0.10845,                0.11115,                0.03904,                 0.3543,                0.08903,                0.08642,                0.01567,                 2.9048,                 3.6189,                  2.662,                 1.1384,             0.00023051,             0.00023051,             0.00023051
                    174,                 2.1313,                 2.5986,                 1.7053,                 1.0691,                0.39446,                0.11721,                0.10966,                0.03673,                0.37015,                0.09975,                0.08861,                0.01646,                 2.8807,                 3.6154,                 2.6438,                 1.1346,             0.00022768,             0.00022768,             0.00022768
                    175,                 2.0971,                 2.4702,                 1.6231,                 1.0688,                0.39706,                0.10605,                0.11882,                 0.0412,                0.35828,                0.08684,                0.08982,                0.01845,                 2.9368,                 3.5659,                 2.6893,                 1.1483,             0.00022485,             0.00022485,             0.00022485
                    176,                 2.1808,                 2.5943,                 1.7066,                 1.0554,                0.35515,                0.15799,                0.11515,                0.03421,                0.30637,                 0.1099,                0.04931,                0.01212,                 2.9032,                 3.6655,                 2.4933,                 1.1485,             0.00022203,             0.00022203,             0.00022203
                    177,                 2.1098,                 2.6246,                 1.6458,                 1.0942,                0.42544,                0.09739,                0.10071,                0.02866,                0.19988,                0.05699,                0.04652,                0.01042,                 2.9501,                 3.7351,                 2.5594,                 1.1497,              0.0002192,              0.0002192,              0.0002192
                    178,                 2.1271,                  2.485,                 1.6585,                 1.1052,                0.20985,                0.11987,                0.08427,                0.02441,                0.30806,                0.05988,                0.04176,                0.01158,                 2.9038,                 3.7693,                 2.5532,                 1.1357,             0.00021637,             0.00021637,             0.00021637
                    179,                 2.1678,                 2.4006,                 1.6242,                 1.1014,                0.38572,                0.10491,                0.10666,                0.02558,                0.33589,                 0.0522,                  0.041,                0.01026,                 2.9213,                 3.8491,                 2.5313,                 1.1199,             0.00021354,             0.00021354,             0.00021354
                    180,                  2.103,                 2.4535,                 1.6259,                 1.0881,                0.36758,                0.11847,                0.08684,                0.02369,                0.30864,                0.05796,                0.03412,                0.00963,                 2.9085,                 3.7384,                  2.627,                 1.1285,             0.00021072,             0.00021072,             0.00021072
                    181,                 2.0775,                 2.4878,                  1.608,                 1.0866,                0.22186,                0.13092,                0.07656,                0.02054,                 0.1895,                 0.0584,                0.03611,                0.00956,                 2.9355,                  3.688,                 2.6231,                 1.1389,             0.00020789,             0.00020789,             0.00020789
                    182,                 2.1532,                 2.6839,                  1.697,                 1.1106,                0.26735,                0.11118,                0.10487,                0.03402,                0.24404,                0.09786,                0.08497,                0.01538,                 2.8846,                  3.721,                 2.5624,                 1.1304,             0.00020506,             0.00020506,             0.00020506
                    183,                   2.14,                 2.4281,                 1.6744,                 1.0723,                0.25475,                0.10439,                 0.0994,                0.03652,                0.18257,                 0.0615,                0.03606,                0.00873,                  2.888,                 3.7586,                 2.7614,                  1.134,             0.00020223,             0.00020223,             0.00020223
                    184,                 2.1702,                 2.5197,                 1.6724,                 1.0734,                0.35672,                0.11401,                0.10448,                0.03239,                0.31051,                0.05467,                0.03818,                0.01025,                 2.8796,                 3.5972,                 2.7147,                 1.1184,             0.00019941,             0.00019941,             0.00019941
                    185,                 2.0658,                 2.6077,                 1.6667,                  1.093,                0.34957,                0.10976,                0.09957,                0.02437,                0.30539,                0.04633,                0.03498,                0.00951,                 2.9416,                 3.7663,                 2.6289,                 1.1477,             0.00019658,             0.00019658,             0.00019658
                    186,                  2.099,                 2.4889,                 1.6105,                 1.1009,                0.36806,                0.10503,                0.08732,                 0.0259,                0.31552,                0.05034,                0.04098,                 0.0119,                 2.8718,                 3.5896,                 2.6446,                 1.1399,             0.00019375,             0.00019375,             0.00019375
                    187,                 2.0957,                  2.524,                 1.6183,                 1.0802,                0.42189,                0.08636,                0.09997,                0.02838,                0.38167,                0.07566,                0.05529,                 0.0114,                 2.8768,                 3.5856,                 2.6814,                  1.119,             0.00019092,             0.00019092,             0.00019092
                    188,                 1.9985,                 2.3479,                 1.5601,                 1.0725,                0.37915,                0.10821,                 0.1025,                0.03275,                0.31845,                0.06461,                0.04141,                0.01137,                 2.8942,                 3.6858,                 2.6443,                 1.1471,              0.0001881,              0.0001881,              0.0001881
                    189,                 2.0069,                  2.325,                 1.5537,                 1.1258,                0.39738,                0.10697,                0.09814,                0.02962,                0.25564,                 0.0986,                0.05587,                0.01224,                 2.9331,                 3.7643,                 2.7149,                 1.1432,             0.00018527,             0.00018527,             0.00018527
                    190,                 1.9582,                 2.4279,                 1.5109,                 1.0938,                0.36163,                0.10438,                0.07711,                0.02373,                0.31247,                0.05595,                0.04241,                 0.0119,                 2.9152,                 3.7072,                 2.7353,                 1.1274,             0.00018244,             0.00018244,             0.00018244
                    191,                 2.0666,                 2.4711,                 1.5838,                 1.0785,                0.35947,                0.11002,                0.10411,                0.03017,                0.32874,                0.08803,                0.05847,                0.01372,                 2.9319,                  3.624,                 2.8235,                   1.13,             0.00017961,             0.00017961,             0.00017961
                    192,                 2.0398,                 2.5002,                 1.6265,                 1.0454,                0.25928,                0.11141,                0.10229,                0.03284,                0.23867,                0.09495,                0.05971,                0.01265,                 2.8572,                 3.6578,                 2.7198,                  1.119,             0.00017679,             0.00017679,             0.00017679
                    193,                 1.9881,                  2.407,                  1.567,                 1.0836,                0.28747,                0.10807,                0.10564,                0.03248,                0.21524,                0.06591,                0.04725,                0.01176,                 2.8447,                 3.6606,                 2.5944,                 1.1078,             0.00017396,             0.00017396,             0.00017396
                    194,                 2.0256,                   2.48,                 1.5887,                 1.0888,                0.41182,                0.11146,                0.10364,                0.03352,                0.36775,                0.10368,                0.06801,                0.01419,                 2.8833,                 3.6849,                 2.5302,                 1.1234,             0.00017113,             0.00017113,             0.00017113
                    195,                 2.0252,                 2.4268,                 1.5606,                 1.0954,                0.35277,                0.11228,                0.09901,                0.02783,                0.33895,                0.09668,                0.05784,                0.01222,                 2.9499,                 3.7493,                 2.6117,                 1.1451,              0.0001683,              0.0001683,              0.0001683
                    196,                 2.0111,                   2.51,                 1.5526,                 1.0635,                0.34552,                0.11913,                0.08157,                0.02443,                0.29652,                0.06656,                0.03862,                0.01074,                 2.9026,                 3.7408,                 2.7401,                 1.1198,             0.00016548,             0.00016548,             0.00016548
                    197,                 2.0166,                 2.4085,                 1.5611,                 1.0855,                0.26078,                0.11613,                0.10463,                0.02836,                0.22418,                0.09232,                 0.0561,                0.01126,                 2.9228,                 3.7206,                 2.6968,                  1.123,             0.00016265,             0.00016265,             0.00016265
                    198,                 1.9951,                 2.5774,                  1.506,                 1.0612,                0.37669,                0.11296,                0.10265,                0.02574,                0.21789,                0.09626,                0.05246,                0.01062,                 2.8742,                 3.7454,                 2.6766,                  1.119,             0.00015982,             0.00015982,             0.00015982
                    199,                 1.9834,                   2.33,                 1.5576,                 1.0761,                0.38605,                0.10207,                0.10037,                0.02449,                0.19434,                0.05944,                0.04355,                0.01099,                 2.9352,                 3.7014,                 2.7026,                 1.1272,             0.00015699,             0.00015699,             0.00015699
                    200,                 1.9426,                 2.3651,                 1.4611,                 1.0551,                0.25378,                0.10918,                0.07968,                0.02316,                0.19981,                0.06129,                   0.04,                0.01036,                 2.9452,                 3.6852,                 2.6968,                 1.1383,             0.00015417,             0.00015417,             0.00015417
                    201,                 1.9598,                 2.4414,                 1.5157,                 1.0477,                0.33874,                 0.1069,                0.07632,                0.02336,                0.29021,                0.05031,                0.03148,                0.00856,                 2.9243,                 3.6908,                 2.8375,                 1.1334,             0.00015134,             0.00015134,             0.00015134
                    202,                 2.0239,                 2.4064,                 1.5363,                 1.0745,                0.36486,                0.10965,                0.08173,                0.02848,                0.30395,                0.05651,                0.04074,                0.01036,                 2.9235,                 3.6989,                  2.787,                  1.143,             0.00014851,             0.00014851,             0.00014851
                    203,                  2.011,                 2.4222,                 1.5161,                 1.0942,                0.37488,                0.10994,                0.10876,                0.03409,                0.31179,                0.05945,                0.04275,                0.01161,                  2.948,                 3.6953,                 2.6246,                 1.1449,             0.00014568,             0.00014568,             0.00014568
