                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.8591,                 3.4198,                 2.9243,                 1.4569,                0.29519,                0.06859,                 0.0576,                0.01653,                0.28709,                0.06697,                0.04418,                0.01103,                 3.0238,                 3.8226,                 2.6634,                 1.1893,              0.0006518,              0.0006518,              0.0006518
                     25,                 2.7967,                 3.3718,                 2.7764,                  1.393,                 0.3124,                0.06356,                 0.0588,                 0.0174,                0.27782,                0.05804,                0.04497,                0.01221,                 2.8613,                 3.7181,                 2.5492,                 1.1465,             0.00064897,             0.00064897,             0.00064897
                     26,                 2.8226,                 3.3798,                 2.7469,                 1.3596,                0.42004,                 0.0643,                0.06376,                0.02017,                0.40046,                0.05923,                0.06002,                0.01729,                 2.8856,                 3.7027,                 2.4361,                 1.1744,             0.00064614,             0.00064614,             0.00064614
                     27,                 2.8648,                 3.5225,                 2.6669,                 1.3272,                 0.2935,                0.06485,                0.05704,                0.01667,                0.27813,                0.05635,                0.04632,                0.01123,                  2.945,                 3.7961,                 2.5854,                  1.198,             0.00064331,             0.00064331,             0.00064331
                     28,                  2.768,                 3.4081,                 2.6872,                 1.2963,                0.29372,                0.07131,                0.09145,                 0.0313,                0.28767,                0.06411,                0.08028,                0.01607,                 2.9645,                 3.6643,                 2.5572,                 1.2019,             0.00064049,             0.00064049,             0.00064049
                     29,                 2.8624,                 3.5195,                 2.7672,                 1.3264,                0.30783,                0.07157,                0.09399,                0.02563,                0.28254,                 0.0787,                0.08173,                 0.0206,                  2.918,                 3.5185,                 2.4937,                 1.1697,             0.00063766,             0.00063766,             0.00063766
                     30,                 2.8435,                 3.5314,                 2.7365,                 1.2955,                0.30382,                0.07405,                0.06501,                0.01728,                0.28558,                0.06243,                0.05008,                0.01321,                 2.9626,                 3.6621,                  2.549,                 1.1968,             0.00063483,             0.00063483,             0.00063483
                     31,                 2.7937,                 3.3243,                 2.6699,                 1.3922,                0.52613,                 0.0645,                0.06459,                0.01734,                0.39661,                0.06806,                0.04723,                0.01347,                 2.9267,                 3.6991,                 2.4559,                 1.2061,               0.000632,               0.000632,               0.000632
                     32,                 2.8414,                 3.3795,                 2.6858,                 1.3508,                0.29716,                0.06881,                0.05391,                0.01611,                 0.2775,                0.07373,                0.06691,                0.01629,                 2.9625,                  3.588,                 2.4938,                 1.2013,             0.00062918,             0.00062918,             0.00062918
                     33,                 2.8596,                 3.3555,                 2.7255,                 1.3466,                 0.4122,                0.06862,                0.05663,                0.01719,                0.40487,                0.06533,                0.04593,                0.01266,                 2.8763,                 3.5808,                 2.5471,                 1.1605,             0.00062635,             0.00062635,             0.00062635
                     34,                 2.7838,                 3.3274,                 2.6242,                 1.3094,                0.29754,                0.07267,                0.06352,                0.02014,                0.27508,                 0.0654,                0.04505,                0.01181,                 2.8453,                 3.5887,                 2.8653,                 1.1541,             0.00062352,             0.00062352,             0.00062352
                     35,                 2.7796,                 3.3487,                 2.6178,                 1.2696,                0.30119,                0.05868,                0.08853,                0.03168,                0.27113,                0.06346,                0.03695,                0.01049,                 2.8198,                 3.6328,                 2.5459,                 1.1505,             0.00062069,             0.00062069,             0.00062069
                     36,                 2.8399,                 3.5508,                 2.6766,                 1.3277,                0.31006,                0.07985,                0.05902,                0.01657,                0.28905,                0.06876,                0.04579,                0.01137,                 2.8274,                 3.5411,                 2.5304,                 1.1645,             0.00061787,             0.00061787,             0.00061787
                     37,                 2.8476,                  3.575,                  2.694,                  1.342,                0.33486,                0.06463,                0.06108,                0.01767,                0.29496,                0.05595,                0.04113,                0.01097,                 2.8277,                 3.5412,                  2.596,                 1.1626,             0.00061504,             0.00061504,             0.00061504
                     38,                 2.7541,                 3.3992,                 2.5484,                 1.3987,                0.30867,                0.06599,                0.05955,                0.01764,                0.28268,                0.17078,                0.03634,                0.00982,                 2.8418,                 3.6262,                 2.6799,                 1.1381,             0.00061221,             0.00061221,             0.00061221
                     39,                 2.6611,                 3.3488,                 2.5414,                 1.3467,                0.47613,                0.06522,                0.06048,                0.01685,                0.28443,                0.07862,                0.05205,                0.01398,                 2.8623,                  3.575,                 2.6574,                 1.1538,             0.00060938,             0.00060938,             0.00060938
                     40,                 2.7257,                 3.2897,                 2.5577,                 1.2835,                0.30318,                0.08097,                0.06701,                0.01942,                0.30201,                0.06591,                0.04099,                 0.0108,                 2.9231,                 3.6733,                 2.4652,                 1.1645,             0.00060656,             0.00060656,             0.00060656
                     41,                 2.7069,                 3.2473,                 2.5291,                 1.3302,                 0.5122,                0.07441,                0.06352,                0.01999,                0.50558,                0.05401,                0.05283,                0.01528,                 2.8552,                 3.5853,                 2.4545,                 1.1516,             0.00060373,             0.00060373,             0.00060373
                     42,                 2.7281,                 3.3038,                 2.6155,                 1.2555,                0.42442,                0.08025,                0.06094,                0.01834,                0.40975,                0.07245,                0.05015,                0.01339,                 2.8204,                 3.4794,                   2.42,                 1.1331,              0.0006009,              0.0006009,              0.0006009
                     43,                 2.7244,                 3.2158,                 2.4859,                 1.2832,                0.31601,                0.07125,                0.06513,                0.01994,                0.29722,                0.06673,                0.05015,                0.01385,                 2.8308,                 3.4753,                 2.4803,                 1.1427,             0.00059807,             0.00059807,             0.00059807
                     44,                 2.7721,                 3.3254,                 2.5581,                 1.3084,                0.32318,                0.18596,                0.08678,                 0.0289,                0.30034,                0.17659,                0.07071,                0.01953,                 2.8007,                 3.6358,                 3.0099,                 1.1587,             0.00059525,             0.00059525,             0.00059525
                     45,                  2.696,                 3.2916,                 2.4908,                 1.2885,                0.37911,                0.12311,                0.09962,                0.03399,                0.34236,                0.11937,                0.07811,                0.02638,                 2.8021,                 3.5912,                 2.5495,                 1.1456,             0.00059242,             0.00059242,             0.00059242
                     46,                 2.6671,                 3.2552,                 2.4792,                 1.4214,                0.31311,                0.07919,                0.06024,                0.01709,                0.28574,                0.06376,                 0.0372,                0.01063,                 2.8901,                 3.5483,                  2.702,                 1.1752,             0.00058959,             0.00058959,             0.00058959
                     47,                 2.7091,                 3.3624,                 2.6339,                 1.3259,                0.31703,                0.07969,                0.07268,                0.02637,                 0.2998,                0.06896,                0.06141,                0.01415,                  2.818,                 3.5632,                 2.5753,                 1.1486,             0.00058677,             0.00058677,             0.00058677
                     48,                  2.672,                 3.3151,                 2.4558,                 1.2968,                0.29818,                0.07946,                0.09933,                0.03981,                 0.2417,                0.10675,                0.08587,                0.01956,                 2.8689,                  3.717,                 2.5717,                 1.1463,             0.00058394,             0.00058394,             0.00058394
                     49,                 2.6577,                 3.2454,                 2.5229,                 1.3196,                 0.3036,                0.08726,                0.07445,                0.02636,                0.28905,                0.07906,                0.06373,                0.01462,                 2.8955,                 3.5337,                 2.5493,                 1.1538,             0.00058111,             0.00058111,             0.00058111
                     50,                 2.7305,                 3.3538,                 2.5351,                 1.3604,                0.30934,                0.09008,                0.07619,                0.02568,                0.29052,                0.07661,                0.05984,                0.01476,                 2.9045,                 3.5734,                 2.5915,                 1.1785,             0.00057828,             0.00057828,             0.00057828
                     51,                 2.5944,                 3.2934,                 2.5779,                 1.3911,                0.29347,                0.09858,                0.07778,                0.02329,                0.27022,                0.07831,                0.05148,                0.01144,                 2.8033,                 3.6046,                 2.4539,                 1.1476,             0.00057546,             0.00057546,             0.00057546
                     52,                 2.6957,                   3.34,                 2.5323,                 1.3075,                0.30043,                0.09063,                0.09163,                0.03475,                0.27191,                0.07681,                0.06837,                0.01572,                 2.9721,                 3.7953,                 2.5055,                 1.1662,             0.00057263,             0.00057263,             0.00057263
                     53,                 2.6506,                 3.2186,                  2.467,                 1.3227,                0.34657,                0.07598,                0.07607,                0.02385,                0.27603,                0.07775,                0.05452,                0.01268,                 2.8538,                 3.5882,                 2.4219,                 1.1533,              0.0005698,              0.0005698,              0.0005698
                     54,                 2.6303,                 3.3432,                 2.3564,                 1.3111,                0.30934,                 0.1153,                0.07884,                0.02466,                0.40588,                0.07605,                0.04319,                0.01104,                 2.8125,                 3.5649,                 2.4391,                 1.1173,             0.00056697,             0.00056697,             0.00056697
                     55,                 2.5996,                 3.1789,                 2.4586,                 1.3012,                  0.441,                0.07333,                0.06977,                0.02327,                0.37902,                0.05849,                0.04354,                0.01208,                 2.8458,                 3.7653,                 2.5999,                 1.1197,             0.00056415,             0.00056415,             0.00056415
                     56,                 2.6121,                   3.23,                 2.3512,                 1.2968,                0.56967,                0.07837,                 0.0975,                 0.0389,                0.37637,                0.08899,                0.07008,                0.01224,                 2.8754,                 3.7051,                 2.6065,                  1.152,             0.00056132,             0.00056132,             0.00056132
                     57,                 2.6277,                  3.072,                 2.3519,                  1.344,                0.39643,                0.10321,                0.09867,                0.04308,                0.35582,                0.08939,                0.08118,                0.01827,                 2.8352,                 3.7149,                 2.5795,                 1.1343,             0.00055849,             0.00055849,             0.00055849
                     58,                 2.5229,                 3.0372,                 2.2653,                 1.3596,                0.35601,                 0.0713,                0.06731,                0.02097,                0.29554,                0.05818,                0.03632,                0.01013,                 2.8859,                 3.7322,                 2.6661,                 1.1685,             0.00055566,             0.00055566,             0.00055566
                     59,                 2.5978,                 3.1238,                 2.4436,                 1.3411,                0.31768,                0.08256,                0.10171,                0.03738,                0.23781,                0.11155,                0.08827,                0.02245,                 2.8542,                 3.6437,                 2.5628,                 1.1917,             0.00055284,             0.00055284,             0.00055284
                     60,                 2.6615,                 3.1783,                 2.4064,                 1.2744,                 0.3049,                0.08892,                0.09911,                 0.0409,                0.31921,                0.06684,                0.05373,                 0.0127,                 2.8648,                 3.4878,                 2.5291,                 1.1974,             0.00055001,             0.00055001,             0.00055001
                     61,                 2.6384,                 3.2539,                 2.4528,                 1.3112,                 0.3252,                0.08291,                0.06683,                0.02255,                0.29365,                0.06426,                  0.046,                0.01327,                 2.9527,                 3.6772,                 2.4975,                 1.1525,             0.00054718,             0.00054718,             0.00054718
                     62,                  2.556,                 3.1516,                 2.3925,                 1.2962,                0.30601,                 0.0896,                0.09922,                0.03184,                0.27033,                0.07046,                0.07384,                0.01526,                 2.8908,                 3.6885,                  2.655,                  1.159,             0.00054435,             0.00054435,             0.00054435
